LOC_ID,PROD_ID,PERIOD,PLANNING_PERIOD,FINAL_FCST,STAT_FCST_QTY,CORRECTED_FCST_QTY,AIP_FCST,SALES_HISTORY,AIP_YEAR_TREND,CORR_YEAR_TREND,STAT_YEAR_TREND,AIP_TREND,CORR_TREND,STAT_TREND,AIP_YEAR_MEAN,CORR_YEAR_MEAN,STAT_YESR_MEAN,AIP_MEAN,CORR_MEAN,STAT_MEAN
FLORIDA,FG_605,2018-08-01,2018-08-01,,15.000000,18.235425,16.000000,,18.338437,17.830193,14.666666,17.208876,18.055322,14.851851,16.355551,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2018-09-01,,14.000000,17.019730,16.000000,,22.153782,17.885452,14.712121,17.120127,18.065712,14.860398,16.457138,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2018-10-01,,14.000000,17.019730,25.599900,,177.883717,17.940711,14.757575,17.071838,18.076103,14.868945,52.599634,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2018-11-01,,15.000000,18.235425,16.000000,,184.234025,17.995969,14.803030,16.975260,18.086493,14.877492,52.599634,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2018-12-01,,16.000000,19.451120,16.000000,,185.292410,18.051228,14.848484,16.959163,18.096884,14.886039,52.599634,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-01-01,,15.000000,18.235425,16.000000,,186.586358,18.106487,14.893939,16.878682,18.107274,14.894586,48.132530,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-02-01,,15.000000,18.235425,16.000000,,210.294478,18.161746,14.939393,16.782104,18.117665,14.903133,97.750882,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-03-01,,15.000000,18.235425,16.000000,,218.346889,18.217005,14.984848,16.766008,18.128055,14.911680,97.750882,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-04-01,,15.000000,18.235425,16.000000,,274.713770,18.272264,15.030303,16.653333,18.138446,14.920227,97.750882,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-05-01,,15.000000,18.235425,16.000000,,290.818593,18.327523,15.075757,16.621141,18.148837,14.928774,97.750882,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-06-01,,15.000000,18.235425,16.000000,,284.316246,18.382781,15.121212,16.564857,18.159227,14.937321,122.619457,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-07-01,,15.000000,18.235425,16.000000,,272.714892,18.438040,15.166666,16.500456,18.169618,14.945868,122.619457,18.190399,14.962962,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-08-01,,15.000000,18.235425,16.000000,,255.312860,18.235424,15.000000,16.403853,18.180008,14.954415,122.619457,18.235424,15.000000,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-09-01,,15.000000,18.235425,16.000000,,249.512183,18.235424,15.000000,16.371652,18.190399,14.962962,122.619457,18.235424,15.000000,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-10-01,,15.000000,18.235425,16.000000,,16.000000,18.235424,15.000000,16.307250,18.200789,14.971509,16.000000,18.235424,15.000000,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-11-01,,15.000000,18.235425,16.000000,,16.000000,18.235424,15.000000,16.210647,18.211180,14.980056,16.000000,18.235424,15.000000,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2019-12-01,,15.000000,18.235425,16.000000,,16.000000,18.235424,15.000000,16.178446,18.221570,14.988603,16.000000,18.235424,15.000000,16.355551,18.190399,14.962962
FLORIDA,FG_605,2018-08-01,2020-01-01,,15.000000,18.235425,16.000000,,16.000000,18.235424,15.000000,16.081844,18.231961,14.997150,16.000000,18.235424,15.000000,16.355551,18.190399,14.962962
